,Date,Prediction,Actual,Signal,Current
289,2019-12-12,3035.0150682416993,3141.629883,0,1000
290,2019-12-13,3066.161895392578,3168.570068,0,1000
291,2019-12-16,3068.110923938965,3168.800049,0,1000
292,2019-12-17,3085.3833769033204,3191.449951,0,1000
293,2019-12-18,3085.433395854492,3192.52002,0,1000
294,2019-12-19,3079.2178501533203,3191.139893,0,1000
295,2019-12-20,3092.9388578447265,3205.370117,0,1000
296,2019-12-23,3099.2286074746094,3221.219971,0,1000
297,2019-12-24,3106.5887606103515,3224.01001,0,1000
298,2019-12-26,3106.274086186035,3223.379883,0,1000
299,2019-12-27,3127.4391249516602,3239.909912,0,1000
300,2019-12-30,3128.555519572754,3240.02002,0,1000
301,2019-12-31,3115.037498411621,3221.290039,0,1000
302,2020-01-02,3126.8104931723633,3230.780029,0,1000
303,2020-01-03,3153.9780505756835,3257.850098,0,1000
304,2020-01-06,3132.111259804199,3234.850098,0,1000
305,2020-01-07,3136.2303769003906,3246.280029,0,1000
306,2020-01-08,3132.7596286552734,3237.179932,0,1000
307,2020-01-09,3148.1486894418945,3253.050049,0,1000
308,2020-01-10,3169.239486522461,3274.699951,0,1000
309,2020-01-13,3159.6822818378905,3265.350098,0,1000
310,2020-01-14,3186.325309940918,3288.129883,0,1000
311,2020-01-15,3180.348533286621,3283.149902,0,1000
312,2020-01-16,3185.389373716797,3289.290039,0,1000
313,2020-01-17,3215.6953815708007,3316.810059,0,1000
314,2020-01-21,3226.1773984941406,3329.620117,0,1000
315,2020-01-22,3213.6780700058594,3320.790039,0,1000
316,2020-01-23,3206.5118255615234,3321.75,0,1000
317,2020-01-24,3219.3596724838867,3325.540039,0,1000
318,2020-01-27,3188.8524630654297,3295.469971,0,1000
319,2020-01-28,3141.460708805664,3243.629883,0,1000
320,2020-01-29,3169.0279386083985,3276.23999,0,1000
321,2020-01-30,3172.9852672954103,3273.399902,0,1000
322,2020-01-31,3175.469726453125,3283.659912,0,1000
323,2020-02-03,3117.1015019335937,3225.52002,0,1000
324,2020-02-04,3136.9771424589844,3248.919922,0,1000
325,2020-02-05,3188.989318957031,3297.590088,0,1000
326,2020-02-06,3224.717467855469,3334.689941,0,1000
327,2020-02-07,3235.462661446289,3345.780029,0,1000
328,2020-02-10,3217.8933487563477,3327.709961,0,1000
329,2020-02-11,3242.3863145014648,3352.090088,0,1000
330,2020-02-12,3248.046028137207,3357.75,0,1000
331,2020-02-13,3265.180549449707,3379.449951,0,1000
332,2020-02-14,3262.1827693691407,3373.939941,0,1000
333,2020-02-18,3268.5110319951173,3380.159912,0,1000
334,2020-02-19,3260.9946517319336,3370.290039,0,1000
335,2020-02-20,3280.454558982422,3386.149902,0,1000
336,2020-02-21,3266.143310078125,3373.22998,0,1000
337,2020-02-24,3236.625816345215,3337.75,0,1000
338,2020-02-25,3123.4491810249024,3225.889893,0,1000
339,2020-02-26,3017.922134461914,3128.209961,0,1000
340,2020-02-27,3006.13256878125,3116.389893,0,1000
341,2020-02-28,2861.2479250390625,2978.76001,0,1000
342,2020-03-02,2835.973892508789,2954.219971,0,1000
343,2020-03-03,2972.3535914501954,3090.22998,0,1000
344,2020-03-04,2881.4860075029296,3003.370117,0,1000
345,2020-03-05,3009.482696345703,3130.120117,0,1000
346,2020-03-06,2900.8108974208985,3023.939941,0,1000
347,2020-03-09,2848.0793836625976,2972.370117,0,1000
348,2020-03-10,2632.280838418945,2746.560059,0,1000
349,2020-03-11,2770.543021687012,2882.22998,0,1000
350,2020-03-12,2629.880340763672,2741.379883,0,1000
351,2020-03-13,2374.2175907539063,2480.639893,0,1000
